Título,Data,Local,Link,Fonte,Hash
PIRANHAS RUN WILD,08/08/2025,Praça da Bandeira - Belo Horizonte  MG,https://www.sympla.com.br/evento/piranhas-run-wild/2995987,Sympla,bcbd6943
Campeonato Interno de Vôlei - Posto 011 Piracicaba,08/08/2025,Av. Limeira  70 - Piracicaba  SP,https://www.sympla.com.br/evento/campeonato-interno-de-volei-posto-011-piracicaba/3043878,Sympla,5fc807fa
10º CORRIDA DA OAB DE CANAÃ DOS CARAJÁS,09/08/2025,Canaã dos Carajás  PA,https://www.ticketsports.com.br/e/10-corrida-da-oab-de-canaa-dos-carajas-71913,TicketSports-Geral,f034abee
2ª CORRIDA FUNDAÇÃO DOM CABRAL,09/08/2025,Nova Lima  MG,https://www.ticketsports.com.br/e/2-corrida-fundacao-dom-cabral-72410,TicketSports-Geral,13d2fc8a
LIVE! RUN XP - SUNSET CAMPINAS I 2025,09/08/2025,Campinas  SP,https://www.ticketsports.com.br/e/live-run-xp-sunset-campinas-i-2025-73190,TicketSports-Geral,3037399d
1ª CORRIDA NIGHT RUN CAP,09/08/2025,Capitão Poço  PA,https://www.ticketsports.com.br/e/1-corrida-night-run-cap-72826,TicketSports-Geral,a9bea9ef
CORRIDA E CAMINHADA AGOSTO LILÁS EM C...,09/08/2025,Taboão da Serra  SP,https://www.ticketsports.com.br/e/corrida-e-caminhada-agosto-lilas-em-combate-a-violencia-contra-as-mulheres-taboao-72338,TicketSports-Geral,d7c76b34
RITMO NOTURNO - PARQUE BRUNO COVAS,09/08/2025,São Paulo  SP,https://www.ticketsports.com.br/e/ritmo-noturno-parque-bruno-covas-72841,TicketSports-Geral,166cad43
13ª CORRIDA DA ADVOCACIA 8ª CORRIDA KIDS,09/08/2025,Aracaju  SE,https://www.ticketsports.com.br/e/13-corrida-da-advocacia-8-corrida-kids-73233,TicketSports-Geral,b109b9fb
CORRIDA E CAMINHADA DO VERDE,09/08/2025,São Paulo  SP,https://www.ticketsports.com.br/e/corrida-e-caminhada-do-verde-73341,TicketSports-Geral,c2eced8a
CIRCUITO CORRIDA DO FOGO - 4ª ETAPA PORTO VELHO,09/08/2025,Espaço Alternativo de Porto Velho - Porto Velho  RO,https://www.sympla.com.br/evento/circuito-corrida-do-fogo-4a-etapa-porto-velho/3023044,Sympla,51c6ef8e
Corrida pais e filhos,09/08/2025,Local a definir - Vitória  ES,https://www.sympla.com.br/evento/corrida-pais-e-filhos/3038451,Sympla,e2ce54f3
IMPÉRIO FIGHT SHOW - IFS1 - ITAPORÃ,09/08/2025,Clube Itapora - Esmeraldas  MG,https://www.sympla.com.br/evento/imperio-fight-show-ifs1-itapora/3024639,Sympla,50feb941
TrackDay Outliers - 4° Edição Campeonato 2025,09/08/2025,Autódromo Capuava - Indaiatuba  SP,https://www.sympla.com.br/evento/trackday-outliers-4deg-edicao-campeonato-2025/3007098,Sympla,a53fb5fc
COPA MERCOSUL INTERNATIONAL CUP,09/08/2025,Av. Protásio Alves  6220 - Porto Alegre  RS,https://www.sympla.com.br/evento/copa-mercosul-international-cup/3040196,Sympla,7b73e0fb
HAPPEN RUN,09/08/2025,CrossHappen - Concórdia  SC,https://www.sympla.com.br/evento/happen-run/3033477,Sympla,a98ce786
Beercrew 2025 - LAGUNITAS & TBH - LANÇAMENTO CAMISETA,09/08/2025,The Barley House - São Paulo  SP,https://www.sympla.com.br/evento/beercrew-2025-lagunitas-tbh-lancamento-camiseta/3049602,Sympla,ce68904f
RITMO NOTURNO - PARQUE BRUNO COVAS,09/08/2025,Parque Bruno Covas Pomar - São Paulo  SP,https://www.sympla.com.br/evento/ritmo-noturno-parque-bruno-covas/2969610,Sympla,5869f0f8
CORRIDA MOVIMENTA AREIAL INSCRIÇÕES APENAS ATLETAS LOCAIS,09/08/2025,Areial - Areial  PB,https://www.sympla.com.br/evento/corrida-movimenta-areial-inscricoes-apenas-atletas-locais/3026040,Sympla,540c12cc
Seletiva de Meninos de 10 a 15 Anos para Academia de Beisebol da MLB & CBBS - Turma D (Público),09/08/2025,Ginásio Esportivo do IEE (Instituto Estadual de Educação) - Florianópolis  SC,https://www.sympla.com.br/evento/seletiva-de-meninos-de-10-a-15-anos-para-academia-de-beisebol-da-mlb-cbbs-turma-d-publico/3041874,Sympla,2ead2867
Seletiva de Meninos de 10 a 15 Anos para Academia de Beisebol da MLB & CBBS - Turma C,09/08/2025,Ginásio Esportivo do IEE (Instituto Estadual de Educação) - Florianópolis  SC,https://www.sympla.com.br/evento/seletiva-de-meninos-de-10-a-15-anos-para-academia-de-beisebol-da-mlb-cbbs-turma-c/3033133,Sympla,4dc2a2ba
CORRIDA E CAMINHADA DO VERDE,09/08/2025,Parque Bruno Covas Pomar - São Paulo  SP,https://www.sympla.com.br/evento/corrida-e-caminhada-do-verde/3042463,Sympla,712dedd3
1º Treinão da Juvi,09/08/2025,Smoov Ribeirão Preto - Ribeirão Preto  SP,https://www.sympla.com.br/evento/1o-treinao-da-juvi/3062117,Sympla,40b1d5a2
Circuito Colegial de Surf - EDP,09/08/2025,Praia da Baleia - São Sebastião  SP,https://www.sympla.com.br/evento/circuito-colegial-de-surf-edp/3061092,Sympla,fbc844c7
Memorial Professor Mauricio Horta (09/08  13h30min  5+0),09/08/2025,ALEX _ Associação Leopoldinense de Xadrez - Rio de Janeiro  RJ,https://www.sympla.com.br/evento/memorial-professor-mauricio-horta-09-08-13h30min-5-0/3062967,Sympla,ee93b305
Run & PizzA+ | Comunidade A+,09/08/2025,Peppi Pizza - Setor Bueno - Goiânia  GO,https://www.sympla.com.br/evento/run-pizza-comunidade-a/3041109,Sympla,cb6e4a19
2ª CORRIDA DE RUA,09/08/2025,Aquidauana  MS,https://doity.com.br/2corrida,Doity,27b07d6b
CIRCUITO PARAIBANO TRAIL SERIES 2025 - ETAPA SERRA REDONDA,09/08/2025,Serra Redonda/PB,https://www.atletis.com.br/evento/circuito-paraibano-trail-series-2025-etapa-serra-redonda-4214,Atletis,aab0b7b2
SERPENTE - NIGHT RUN RIO DO RASTRO,09/08/2025,Lauro Müller/SC,https://www.atletis.com.br/evento/serpente-night-run-rio-do-rastro-1040,Atletis,2e658190
CORRIDA DA ADVOCACIA 2025,09/08/2025,Goiânia - GO,https://centraldacorrida.com.br/,CentralDaCorrida,04d2f4df
Corridas de Montanha - Extrema 2025,09/08/2025,Extrema  MG,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=1b58827d-420f-44bb-b044-80d74009422a,MinhasInscricoes,626f5d45
CORRIDA O TEMPO 2025,10/08/2025,Belo Horizonte  MG,https://www.ticketsports.com.br/e/corrida-o-tempo-2025-72755,TicketSports-Geral,2ec6e445
13º CIRCUITO OAB - ETAPA PARAUAPEBAS,10/08/2025,Parauapebas  PA,https://www.ticketsports.com.br/e/13-circuito-oab-etapa-parauapebas-72760,TicketSports-Geral,6476ba12
CIRCUITO 4 ELEMENTOS - ETAPA ÁGUA,10/08/2025,Barueri  SP,https://www.ticketsports.com.br/e/circuito-4-elementos-etapa-agua-71312,TicketSports-Geral,75d8e207
CIRCUITO RIO MARAVILHA - ETAPA INVERNO,10/08/2025,Rio de Janeiro  RJ,https://www.ticketsports.com.br/e/circuito-rio-maravilha-etapa-inverno-72211,TicketSports-Geral,5b693ace
42ª CICORRE ETAPA VÁRZEA,10/08/2025,Recife  PE,https://www.ticketsports.com.br/e/42-cicorre-etapa-varzea-73180,TicketSports-Geral,e06de9e9
SP MORUMBI RUN PARQUE BRUNO COVAS,10/08/2025,São Paulo  SP,https://www.ticketsports.com.br/e/sp-morumbi-run-parque-bruno-covas-72910,TicketSports-Geral,ccf2361f
POPULAR RUN 2025,10/08/2025,Abreu e Lima  PE,https://www.ticketsports.com.br/e/popular-run-2025-72727,TicketSports-Geral,342d2221
CORRIDA - BOP Games BSB 25,10/08/2025,Arena BRB Mané Garrincha - Brasília  DF,https://bileto.sympla.com.br/event/105937,Sympla,26f2022c
1ª Corrida Do Jubileu,10/08/2025,Dom Silvério - Dom Silvério  MG,https://www.sympla.com.br/evento/1a-corrida-do-jubileu/3033585,Sympla,2dd7bbeb
CORRIDA ECO VERDE RUN PQ DO POVO,10/08/2025,Parque do Povo Mário Pimenta Camargo - São Paulo  SP,https://www.sympla.com.br/evento/corrida-eco-verde-run-pq-do-povo/2916614,Sympla,c1cf23dc
SP MORUMBI RUN PQ BRUNO COVAS,10/08/2025,Parque Bruno Covas Pomar - São Paulo  SP,https://www.sympla.com.br/evento/sp-morumbi-run-pq-bruno-covas/2969631,Sympla,e7389eac
Corrida dos Pais e Estudantes - Edição 2025,10/08/2025,Praça Ramiro Teixera - Aurelino Leal  BA,https://www.sympla.com.br/evento/corrida-dos-pais-e-estudantes-edicao-2025/3047063,Sympla,866a9fec
II Corrida Congregação Batista Cidade Jardim,10/08/2025,Marabá  PA,https://even3.com.br/ii-corrida-congregacao-cidade-jardim-589747?even3_orig=online_category,Even3,0ee20439
2ª Corrida Dia dos Pais - Campos Supermercados,10/08/2025,Pesqueira  PE,https://even3.com.br/2-corrida-dia-dos-pais-campos-supermercados-605312?even3_orig=online_category,Even3,a6030acc
Corrida dos pais,10/08/2025,São Luís Gonzaga do Maranhão  MA,https://even3.com.br/corrida-dos-pais-606573?even3_orig=online_category,Even3,aab7ab7e
CORRIDA DO DIA PAIS BENEFICENTE,10/08/2025,Arapiraca   AL,https://doity.com.br/corrida-do-dia-pais-beneficente,Doity,19883ffd
Corrida Comunitária de Massaroca,10/08/2025,Juazeiro   BA,https://doity.com.br/corrida-comunitaria-de-massaroca,Doity,1020bf50
